Feb 23 10:13:42 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:13:42,207 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160711&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:16:46 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:16:46,767 | WARNING  | account_sync_scheduler | account_sync config_id=1 error: KIS balance API failed or empty
Feb 23 10:16:48 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:16:48,593 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160711&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:16:48 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:16:48,594 | WARNING  | account_sync | Balance API config_id=3: 500
Feb 23 10:16:48 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:16:48,598 | WARNING  | account_sync_scheduler | account_sync config_id=3 error: KIS balance API failed or empty
Feb 23 10:16:49 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:16:49,245 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160711&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:16:49 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:16:49,246 | WARNING  | account_sync | Balance API config_id=3: 500
Feb 23 10:16:49 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:16:49,250 | WARNING  | account_sync_scheduler | account_sync config_id=3 error: KIS balance API failed or empty
Feb 23 10:19:52 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:19:52,376 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160697&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:19:52 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:19:52,378 | WARNING  | account_sync | Balance API config_id=1: 500
Feb 23 10:19:52 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:19:52,381 | WARNING  | account_sync_scheduler | account_sync config_id=1 error: KIS balance API failed or empty
Feb 23 10:19:53 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:19:53,023 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160697&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:19:53 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:19:53,024 | WARNING  | account_sync | Balance API config_id=1: 500
Feb 23 10:19:53 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:19:53,027 | WARNING  | account_sync_scheduler | account_sync config_id=1 error: KIS balance API failed or empty
Feb 23 10:19:54 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:19:54,807 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160711&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:19:54 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:19:54,808 | WARNING  | account_sync | Balance API config_id=3: 500
Feb 23 10:19:54 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:19:54,811 | WARNING  | account_sync_scheduler | account_sync config_id=3 error: KIS balance API failed or empty
Feb 23 10:19:55 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:19:55,468 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160711&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:19:55 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:19:55,482 | WARNING  | account_sync | Balance API config_id=3: 500
Feb 23 10:19:55 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:19:55,492 | WARNING  | account_sync_scheduler | account_sync config_id=3 error: KIS balance API failed or empty
